"","NTACode","POPTOT","POPDTY","MALE","FEMALE","MALEOVER18","FEMALEOVER18","POPOVER18","MEDIANAGE","MEDIANAGEMALE","MEDIANAGEFEMALE","EUROPEAN","AFRICAN","ASIAN","AMERICAN","PACIFIC","OTHERETHNICITY","MIXED","HISPANIC","HOUSEHOLDS","LESSTHANHIGHSCHOOL","HIGHSCHOOL","COLLEGE","BACHELOR","MASTER","PROFESSIONAL","DOCTORATE","ONLYLESSTHANHIGHSCHOOL","ONLYHIGHSCHOOL","ONLYCOLLEGE","ONLYBACHELOR","ONLYMASTER","ONLYPROFESSIONAL","ONLYDOCTORATE","MALEONLYLESSTHANHIGHSCHOOL","MALEONLYHIGHSCHOOL","MALEONLYCOLLEGE","MALEONLYBACHELOR","MALEONLYMASTER","MALEONLYPROFESSIONAL","MALEONLYDOCTORATE","FEMALEONLYLESSTHANHIGHSCHOOL","FEMALEONLYHIGHSCHOOL","FEMALEONLYCOLLEGE","FEMALEONLYBACHELOR","FEMALEONLYMASTER","FEMALEONLYPROFESSIONAL","FEMALEONLYDOCTORATE","MALEDROP","FEMALEDROP","MALE16TO19","FEMALE16TO19","MALEINLABOURFORCE","FEMALEINLABOURFORCE","POPINLABOURFORCE","MALEUNEMPLOYED","FEMALEUNEMPLOYED","POPUNEMPLOYED","AFRICANINLABOURFORCE","AFRICANUNEMPLOYED","AMERICANINLABOURFORCE","AMERICANUNEMPLOYED","EUROPEANINLABOURFORCE","EUROPEANUNEMPLOYED","ASIANINLABOURFORCE","ASIANUNEMPLOYED","PACIFICINLABOURFORCE","PACIFICUNEMPLOYED","MIXEDINLABOURFORCE","MIXEDUNEMPLOYED","HISPANICINLABOURFORCE","HISPANICUNEMPLOYED","OTHERINLABOURFORCE","OTHERUNEMPLOYED","LESSTHAN10000","MEDIANINCOME","WITHSOCIALSECURITY","WITHSSI","WITHPUBASST","POOR","STRUGGLING","POORORSTRUGGLING","OKAY","COMMUTELESSTHAN5","COMMUTE5TO14","COMMUTE15TO29","COMMUTE30TO44","COMMUTE45TO59","COMMUTE60TO89","COMMUTEMORETHAN90","GINI","HOUSEHOLDSIZE"
"1","BK09",23498,419888.64,11805,11693,10230,10262,20492,217.2,222.4,218.9,18810,1282,1713,80,0,682,931,1747,11346,326,1396,1923,6387,4623,2780,862,326,17971,16575,14652,8265,3642,862,144,8749,7998,7188,4103,1921,395,182,9222,8577,7464,4162,1721,467,0,0,504,485,7587,7261,14848,384,404,788,688,67,80,39,12245,587,1190,4,0,0,338,23,924,92,307,68,580,637162,2402,114,106,2214,1146,3360,19262,210,1537,3445,5279,1282,560,308,0.51485,1.87166666666667
"2","BK17",61584,589296.926,28670,32914,22838,27462,50300,827.6,791.4,868.5,45514,4584,9815,25,112,958,576,4812,25070,6094,13371,9331,11247,3904,1075,517,6094,39445,26074,16743,5496,1592,517,2677,17844,12396,8129,2514,780,269,3417,21601,13678,8614,2982,812,248,5,14,1372,1074,15059,14404,29463,1428,1224,2652,1945,428,9,0,21997,1623,4857,410,64,20,226,75,1941,305,365,96,3036,1054259,7132,2089,1016,9866,10981,20847,40385,122,2436,5632,4667,3782,7185,1663,0.448089473684211,2.46578947368421
"3","BK19",31584,517644.31,14495,17089,11881,14447,26328,395.8,365.9,415,25322,526,4171,74,0,691,800,4135,13764,3127,6067,5153,6491,1804,681,329,3127,20525,14458,9305,2814,1010,329,1420,9211,6400,4244,1227,582,170,1707,11314,8058,5061,1587,428,159,119,10,683,586,7411,6814,14225,688,398,1086,265,42,28,0,11135,751,2009,236,0,0,372,14,1857,153,372,43,2928,341212,2558,3023,342,8477,6630,15107,16354,86,1243,2349,2090,1705,3734,1010,0.496122222222222,2.35111111111111
"4","BK21",30018,264094.095,13849,16169,10632,12926,23558,370.6,338,385.3,12724,10739,3113,187,21,2612,622,7069,11215,6461,6428,3982,2231,857,341,155,6461,13994,7566,3584,1353,496,155,2887,5906,3197,1503,614,249,101,3574,8088,4369,2081,739,247,54,83,63,1258,881,6019,6313,12332,1289,1281,2570,4663,1456,79,30,4946,694,1324,82,0,0,143,39,2876,515,1167,269,2455,236991,3412,2654,1207,9549,7556,17105,12286,128,1033,1939,1758,1264,1729,1280,0.4332625,2.5025
"5","BK23",15472,248939.42,6552,8920,5891,8294,14185,232.7,229,233.1,15109,168,110,0,0,1,84,169,8026,1272,3846,2887,3603,1558,142,110,1272,12146,8300,5413,1810,252,110,451,5153,3488,2449,877,131,48,821,6993,4812,2964,933,121,62,7,0,194,117,2934,3899,6833,214,225,439,92,1,0,0,6618,430,46,0,0,0,15,8,32,0,0,0,920,158958,3662,1218,189,1820,2966,4786,10686,36,534,1340,1051,686,1843,552,0.4605,1.935
"6","BK25",41899,617485.82,20742,21157,15612,16147,31759,597.6,567.7,614.1,35395,484,4336,55,0,1067,562,2881,15435,4726,9237,5638,5691,2048,476,281,4726,23371,14134,8496,2805,757,281,2288,11261,7093,4440,1578,547,231,2438,12110,7041,4056,1227,210,50,8,5,1165,972,10609,7793,18402,858,900,1758,195,0,19,0,15244,1406,2209,238,0,0,143,60,1631,103,592,54,1379,726502,4689,1316,366,5853,9899,15752,26003,302,1519,3159,3287,2580,4024,729,0.46663125,2.774375
"7","BK26",27759,256332.2,12635,15124,10315,12241,22556,349.3,343,362.9,16699,2338,6585,107,0,1673,357,4263,11068,5272,6709,3706,2954,1169,283,304,5272,15125,8416,4710,1756,587,304,2334,6851,3664,2179,739,317,228,2938,8274,4752,2531,1017,270,76,0,5,519,663,6118,5976,12094,716,732,1448,1195,292,14,0,6886,719,3373,320,0,0,71,0,1627,263,555,117,1382,318003,3976,1660,548,5556,6350,11906,15804,23,834,2175,1812,1648,2813,962,0.4521875,2.63625
"8","BK27",29311,425806.68,14421,14890,11367,12254,23621,426,407.8,451.1,17345,641,9224,74,0,1709,318,3553,10726,5036,7147,3601,3517,1395,364,191,5036,16215,9068,5467,1950,555,191,2304,7734,4309,2535,885,348,111,2732,8481,4759,2932,1065,207,80,0,0,530,491,7549,5854,13403,627,436,1063,271,0,40,14,7816,618,4268,353,0,0,184,8,1749,208,824,70,966,586776,3371,1009,496,4542,5753,10295,18805,8,826,2241,2049,2248,3645,771,0.462381818181818,2.74
"9","BK28",86592,1337126.99,41882,44710,33100,35363,68463,1017.8,999.5,1046.5,48060,769,32319,621,0,4116,707,12500,29717,18869,19727,10078,8012,2941,591,418,18869,41767,22040,11962,3950,1009,418,9385,19707,10677,5842,1733,509,238,9484,22060,11363,6120,2217,500,180,59,44,1922,2317,23171,17230,40401,2474,1454,3928,381,33,469,0,21674,2213,15552,1519,0,0,292,29,6072,466,2012,134,2347,1154642,8572,2559,1469,15495,22362,37857,48543,323,2974,5851,7194,6205,9686,2292,0.438080769230769,2.88576923076923
"10","BK29",61066,920850.04,30046,31020,24106,25344,49450,734.2,700.9,751.2,33602,628,23673,58,18,2223,864,7363,21737,13766,13729,6950,6498,2998,414,172,13766,30761,17032,10082,3584,586,172,6625,15124,8258,4820,1800,351,103,7141,15637,8774,5262,1784,235,69,65,27,1166,1201,17101,12622,29723,1649,1321,2970,384,69,32,0,15878,1579,12004,1176,0,0,323,63,3655,313,1102,83,1618,771772,6333,1935,1063,9822,15444,25266,35695,233,2185,4157,5902,3964,7077,1929,0.444205555555556,2.80611111111111
