"BoroCT2010","NTACode","cnt2002","dol2002","cnt2003","dol2003","cnt2004","dol2004","cnt2005","dol2005","cnt2006","dol2006","cnt2007","dol2007","cnt2008","dol2008","cnt2009","dol2009","cnt2010","dol2010","cnt2011","dol2011","cnt2012","dol2012","POPTOT","delcnt2005","delcnt2007","delcnt2008","delcnt2010","delcnt2012","deldol2005","deldol2007","deldol2008","deldol2010","deldol2012","pcdelcnt2005","pcdelcnt2007","pcdelcnt2010","pcdelcnt2012","pcdeldol2005","pcdeldol2007","pcdeldol2010","pcdeldol2012","pcapcnt2005","pcapcnt2007","pcapcnt2010","pcapcnt2012"
5000900,"SI22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5007400,"SI14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009800,"MN19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010000,"MN19",1,95766,0,0,0,0,0,0,0,0,0,0,1,2e+05,0,0,0,0,0,0,0,0,1699,-1,0,1,-1,0,-95766,0,2e+05,-2e+05,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0
1010200,"MN17",0,0,0,0,0,0,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,267,0,1,-1,0,0,0,10000,-10000,0,0,0,4,0,0,0,203.990068493151,0,0,0,0,0,0
1010400,"MN17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011300,"MN17",5,352381.666666667,2,4857241.5,3,859509,13,1970310.08333333,18,2358262.16666667,60,17071266.2166667,22,1855770.66666667,45,31977315.2666667,18,3357119.66666667,5,336535,4,4457083,214,9,62,51,-19,-54,-2379804.08333333,16599709.3,14598464.6333333,16407398.05,-30540816.9333333,1.28571428571429,3.875,-0.231707317073171,-0.857142857142857,-0.456809256101345,5.86599666309646,0.866876212644143,-0.864335795689268,0.0607476635514019,0.280373831775701,0.0841121495327103,0.0186915887850467
1011402,"MN40",2,47708,0,0,0,0,1,529738.2,1,39450,1,131500,0,0,0,0,1,481814,0,0,0,0,2380,-1,1,-1,0,-1,482030.2,-358788.2,-437688.2,350314,-481814,-0.5,1,0,-1,10.1037603756183,-0.677293425318393,2.66398479087452,-1,0.000420168067226891,0.000420168067226891,0.000420168067226891,0
1013000,"MN40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014000,"MN40",0,0,0,0,1,1500000,1,1500000,1,1500000,1,1500000,1,1500000,0,0,0,0,0,0,0,0,8070,2,0,0,-2,0,3e+06,0,0,-3e+06,0,6,0,-1,0,39.6134827005461,0,-1,0,0.000123915737298637,0.000123915737298637,0,0
