"NTACode","cnt2002","dol2002","cnt2003","dol2003","cnt2004","dol2004","cnt2005","dol2005","cnt2006","dol2006","cnt2007","dol2007","cnt2008","dol2008","cnt2009","dol2009","cnt2010","dol2010","cnt2011","dol2011","cnt2012","dol2012","POPTOT","delcnt2005","delcnt2007","delcnt2008","delcnt2010","delcnt2012","deldol2005","deldol2007","deldol2008","deldol2010","deldol2012","pcapdol2005","pcapdol2007","pcapdol2010","pcapdol2012","pcdelcnt2005","pcdelcnt2007","pcdelcnt2010","pcdelcnt2012","pcdeldol2005","pcdeldol2007","pcdeldol2010","pcdeldol2012","pcapcnt2005","pcapcnt2007","pcapcnt2010","pcapcnt2012"
"BK09",11,2261777,7,1569498,10,7345526.83333333,10,8981138.11428571,11,2483689,12,7690950,10,1024930.8,9,9598223.8,9,11330520,2,117500,0,0,23498,2,3,1,-4,-16,12495389.947619,-6152025.94761905,-2748946.31428571,12212863,-20811243.8,382.208618362657,327.302323602009,482.190824751043,0,0.111111111111111,0.15,-0.181818181818182,-0.888888888888889,3.26141818262042,-0.37680848889572,1.40121959905647,-0.994385711769284,0.000425568133458167,0.0005106817601498,0.00038301132011235,0
"BK17",0,0,1,287911,1,2000,1,459801,0,0,1,317240,1,160130.666666667,0,0,1,25646,0,0,0,0,61584,1,-1,1,-1,-1,173890,-144561,17569.6666666666,-451724.666666667,-25646,7.4662412314887,5.15133800987269,0.41643933489218,0,1,-0.5,-0.5,-1,0.603971366151345,-0.313037433873032,-0.946276548202934,-1,1.623798389192e-05,1.623798389192e-05,1.623798389192e-05,0
"BK19",0,0,1,42783.3333333333,0,0,5,401664,1,55000,3,717877,3,485538,5,950778.666666667,2,211790,1,30952,0,0,31584,4,-1,0,1,-6,358880.666666667,371213,746751,-40846.3333333335,-1131616.66666667,12.7173252279635,22.7291350050659,6.70561043566363,0,4,-0.2,0.166666666666667,-0.857142857142857,8.38832878846903,0.924187878425749,-0.0339420177854967,-0.973376196273424,0.000158308004052685,9.49848024316109e-05,6.3323201621074e-05,0
"BK21",1,178545,1,103416.666666667,0,0,2,219130,0,0,0,0,2,1155553.5,4,1660358.66666667,0,0,0,0,1,1131600,30018,0,-2,0,2,-3,-62831.6666666667,-219130,936423.5,504805.166666667,-528758.666666667,7.29995336131654,0,0,37.6973815710574,0,-1,1,-0.75,-0.222837619771009,-1,0.436851402091436,-0.318460509335734,6.66266906522753e-05,0,0,3.33133453261377e-05
"BK23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BK25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BK26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BK27",0,0,0,0,2,517590,0,0,2,57500,1,150000,0,0,1,20000,1,1e+05,0,0,0,0,29311,2,1,-1,1,-2,517590,-310090,92500,-30000,-120000,0,5.11753266691686,3.41168844461124,0,6,0.5,1,-1,151.7272,-0.599103537549025,-0.2,-1,0,3.41168844461124e-05,3.41168844461124e-05,0
"BK28",1,48686.6666666667,1,122476,0,0,3,119973,0,0,2,195408,3,235396,2,130952,1,172217,0,0,0,0,86592,1,-1,2,-2,-3,-51189.6666666667,75435,310831,-127635,-303169,1.38549750554324,2.25665188470067,1.98883268662232,0,0.5,-0.333333333333333,-0.4,-1,-0.299070280123391,0.628766472456303,-0.296271622361909,-1,3.46452328159645e-05,2.30968218773097e-05,1.15484109386548e-05,0
"BK29",0,0,0,0,0,0,0,0,0,0,1,120000,1,150000,0,0,1,10000,0,0,0,0,61066,0,1,2,-1,-1,0,120000,270000,-260000,-10000,0,1.96508695509776,0.163757246258147,0,0,5,-0.5,-1,0,93.9362068965517,-0.962962962962963,-1,0,1.63757246258147e-05,1.63757246258147e-05,0
"BK30",0,0,2,563580,1,82446,1,408183,0,0,1,408000,0,0,0,0,0,0,0,0,0,0,45216,0,-1,0,-1,0,-72951,-82629,-183,-408000,0,9.02740180467091,9.02335456475584,0,0,0,-0.5,-1,0,-0.129442137762163,-0.168414423118079,-1,0,2.21160651096957e-05,2.21160651096957e-05,0,0
"BK31",0,0,6,1152818,0,0,5,1391019,1,47500,4,12578440,2,844070,1,64000,4,403012,1,60000,0,0,83821,-1,0,0,-1,-4,238201,11234921,11983991,-12955498,-407012,16.5951133964042,150.063110676322,4.80800753987664,0,-0.166666666666667,0,-0.166666666666667,-0.8,0.206624983301787,8.07675596091786,-0.965206805582562,-0.871523643932062,5.96509227997757e-05,4.77207382398206e-05,4.77207382398206e-05,0
"BK32",5,362667.633333333,4,482663.666666667,6,701162.666666667,12,1116525,10,649844.5,14,1747957.16666667,15,3204128.26666667,10,762093,12,1028189.66666667,9,432857,0,0,54932,9,6,7,-7,-13,972356.366666667,580114,3185715.93333333,-3161802.76666667,-1357425.66666667,20.3255843588437,31.8203809558484,18.7174992111459,0,1,0.333333333333333,-0.241379310344828,-0.590909090909091,1.15026660750249,0.319149439498498,-0.638479042664335,-0.758218627672949,0.000218451904172431,0.000254860554867837,0.000218451904172431,0
"BK33",3,132574.833333333,7,433603,2,635632,2,108998,2,848712,4,631469,1,98425,2,64737.2,1,45780,0,0,0,0,39422,-6,2,1,-2,-3,178452.166666667,735551,-227816,-619376.8,-110517.2,2.76490284612653,16.018187813911,1.16128050327228,0,-0.6,0.5,-0.4,-1,0.315187483791165,0.987807367417375,-0.848584588995114,-1,5.07330931966922e-05,0.000101466186393384,2.53665465983461e-05,0
"BK34",0,0,1,50000,4,444549,1,69838,7,1333553.75,5,966016.666666667,3,296000,4,529122,3,1651796.16666667,1,30000,0,0,71460,4,7,0,-1,-6,464387,1785183.41666667,-141375.083333333,918901.5,-2150918.16666667,0.977301987125665,13.5182852878067,23.114975744006,0,4,1.4,-0.125,-0.857142857142857,9.28774,3.47050647988123,0.728121525072305,-0.986244325688821,1.39938427092079e-05,6.99692135460397e-05,4.19815281276238e-05,0
"BK35",1,61073.3333333333,0,0,3,473120,4,196190,1,272531,0,0,4,427957,5,550374.6,0,0,1,114000,0,0,64331,6,-6,-1,1,-4,608236.666666667,-396779,-40764,122417.6,-436374.6,3.04969610296747,0,0,0,6,-0.857142857142857,0.25,-0.8,9.95912018338609,-0.592817976722296,0.286051168692182,-0.79286834821229,6.21784209789992e-05,0,0,0
