"","NTACode","ce03_12","ce03_11","ce03_10","ce03_09","ce03_08","ce03_07","ce03_06","ce03_05","ce03_04","ce03_03","ce03_02","ce02_12","ce02_11","ce02_10","ce02_09","ce02_08","ce02_07","ce02_06","ce02_05","ce02_04","ce02_03","ce02_02","ce01_12","ce01_11","ce01_10","ce01_09","ce01_08","ce01_07","ce01_06","ce01_05","ce01_04","ce01_03","ce01_02","c000_12","c000_11","c000_10","c000_09","c000_08","c000_07","c000_06","c000_05","c000_04","c000_03","c000_02","pcdel2005","pcdel2007","pcdel2010","pcdel2012"
"1","BK09",9078,8739,7831,7739,6513,6485,6097,5505,5351,5269,5563,2244,2110,1668,1690,1623,1778,1756,1776,1897,1815,1980,2385,2240,1621,1577,1555,1625,1603,1635,1613,1686,1590,13707,13089,11120,11006,9691,9888,9456,8916,8861,8770,9133,-0.0015197780287502,-0.0866658543069834,-0.110104649358136,0.194170164943924
"2","BK17",11560,11711,11413,10929,9010,9323,8380,8161,7451,7236,7004,8419,8547,8308,8489,7894,8434,8475,8348,8031,8493,8651,6306,6190,5750,5639,5759,5916,5974,6298,6550,6473,6724,26285,26448,25471,25057,22663,23673,22829,22807,22032,22202,22379,-0.0320471591081456,-0.107659481885727,-0.105428340111718,0.0513203057883068
"3","BK19",4556,4584,4433,3653,3285,3108,3078,2759,2561,2534,2330,4529,4659,4578,4163,4423,4492,4581,4608,4396,4165,4394,3299,3285,2968,2744,3053,2945,2997,3237,3211,3173,3433,12384,12528,11979,10560,10761,10545,10656,10604,10168,9872,10157,-0.0588314377181281,-0.0971209279772022,-0.0997792555813116,0.042863990490223
"4","BK21",3280,3374,3533,3100,2958,2809,2653,2444,2260,2217,1974,3998,3774,4199,3947,4228,4065,4316,4239,4096,4433,4438,2799,2712,2760,2651,2946,2739,2836,2961,3131,3056,3410,10077,9860,10492,9698,10132,9613,9805,9644,9487,9706,9822,-0.0382896519727084,-0.0983911790422368,-0.0691753321458459,0.031405367491594
"5","BK23",2712,2823,2763,1659,1968,1528,1954,1656,1637,1567,1362,2253,2184,2391,1638,2417,2120,2604,2554,2529,2657,2542,1543,1452,1400,954,1620,1242,1641,1812,1830,1881,1944,6508,6459,6554,4251,6005,4890,6199,6022,5996,6105,5848,-0.0529929289072927,-0.142084494437175,-0.17064724350834,0.0601702878341131
"6","BK25",6095,6111,6358,6135,5429,5402,4977,4682,4542,4462,4278,4837,4931,4897,5043,5126,5299,5161,5164,5029,5214,5397,3622,3791,3678,3554,3992,3975,4099,4030,4295,4283,4725,14554,14833,14933,14732,14547,14676,14237,13876,13866,13959,14400,-0.0552671650144001,-0.0694298573467113,-0.105780686305221,0.0347243809043852
"7","BK26",4173,4026,4099,3635,2971,2945,2667,2446,2239,2153,2081,3894,3689,3623,3580,3452,3668,3729,3602,3676,3680,3747,2992,2836,2355,2321,2560,2431,2449,2574,2744,2669,2960,11059,10551,10077,9536,8983,9044,8845,8622,8659,8502,8788,-0.0547575712582924,-0.113549896334319,-0.138874672314617,0.1311867307891
"8","BK27",4731,4693,4751,4403,3722,3686,3456,3151,2975,3022,2897,3629,3657,3616,3575,3582,3616,3475,3289,3453,3579,3750,2815,2666,2540,2605,2539,2597,2723,2612,2824,2874,2914,11175,11016,10907,10583,9843,9899,9654,9052,9252,9475,9561,-0.0232563091711329,-0.0838537862808455,-0.0797303570884959,0.0316537592460264
"9","BK28",12144,11965,11980,11511,9795,9930,8913,8146,7703,7712,7456,11719,11404,11006,10896,10382,11017,10384,10092,10114,10711,10714,9630,9009,8433,8664,8484,8953,8841,8850,9008,9235,9398,33493,32378,31419,31071,28661,29900,28138,27088,26825,27658,27568,-0.0182517759457873,-0.0744032343927075,-0.0811468601966051,0.0342343662451862
"10","BK29",8410,8270,8517,8375,6990,7163,6401,5818,5619,5585,5466,8379,7969,7973,7936,7582,7706,7489,7328,7237,7465,7596,6493,6028,6001,6096,5921,6142,5890,6114,6298,6506,6422,23282,22267,22491,22407,20493,21011,19780,19260,19154,19556,19484,-0.0242676581918618,-0.0871041430289028,-0.0729880948162007,0.0202567664871855
