"","CB2010","BoroCode","BoroName","CT2010","BCTCB2010","Shape_Leng","Shape_Area","BoroCT2010"
"1","1000","5","Staten Island","000900","50009001000",2508.94811457,244589.603884,"5000900"
"2","1000","5","Staten Island","002001","50020011000",1345.88642172,111006.286826,"5002001"
"3","1000","5","Staten Island","002700","50027001000",1703.38117241,150406.766022,"5002700"
"4","1000","5","Staten Island","004000","50040001000",1511.17374266,141296.561149,"5004000"
"5","1000","5","Staten Island","006400","50064001000",1978.24385199,200784.983607,"5006400"
"6","1000","5","Staten Island","007400","50074001000",1540.87550283,139084.016712,"5007400"
"7","1000","5","Staten Island","007500","50075001000",1412.6428865,123560.515383,"5007500"
"8","1000","5","Staten Island","007700","50077001000",2421.03730695,205770.958021,"5007700"
"9","1000","5","Staten Island","011201","50112011000",1943.02902006,196112.284882,"5011201"
"10","1000","5","Staten Island","011202","50112021000",1233.68217789,92737.7587733,"5011202"
"11","1000","5","Staten Island","011401","50114011000",1094.12009227,66684.0875209,"5011401"
"12","1000","5","Staten Island","011402","50114021000",1942.55675934,183061.337294,"5011402"
"13","1000","5","Staten Island","012100","50121001000",1793.9866451,170250.758542,"5012100"
"14","1000","5","Staten Island","012200","50122001000",1587.81137528,139819.271441,"5012200"
"15","1000","5","Staten Island","012500","50125001000",1934.12082058,215177.966984,"5012500"
"16","1000","5","Staten Island","013201","50132011000",4338.68595901,880690.006956,"5013201"
"17","1000","5","Staten Island","013400","50134001000",1076.67046192,43232.1911419,"5013400"
"18","1000","5","Staten Island","013800","50138001000",1351.1027083,110567.399891,"5013800"
"19","1000","5","Staten Island","014605","50146051000",1766.45429761,159883.069226,"5014605"
"20","1000","5","Staten Island","014607","50146071000",2316.41410134,305282.145602,"5014607"
"21","1000","5","Staten Island","014608","50146081000",2688.75939832,400307.576704,"5014608"
"22","1000","5","Staten Island","015603","50156031000",1941.24246528,164263.488519,"5015603"
"23","1000","5","Staten Island","016901","50169011000",2111.3032569,203357.944568,"5016901"
"24","1000","5","Staten Island","017005","50170051000",2457.60015019,121457.459318,"5017005"
"25","1000","5","Staten Island","017008","50170081000",1956.65542786,169009.810828,"5017008"
"26","1000","5","Staten Island","017009","50170091000",1541.92152006,124188.730617,"5017009"
"27","1000","5","Staten Island","017011","50170111000",1705.53291802,153304.879225,"5017011"
"28","1000","5","Staten Island","017300","50173001000",1392.50659596,118085.877723,"5017300"
"29","1000","5","Staten Island","018701","50187011000",1955.14609844,169658.108903,"5018701"
"30","1000","5","Staten Island","018901","50189011000",1436.41014428,109506.946715,"5018901"
"31","1000","5","Staten Island","019700","50197001000",1099.13852813,64399.6187314,"5019700"
"32","1000","5","Staten Island","020700","50207001000",776.171915076,19784.3934826,"5020700"
"33","1000","5","Staten Island","020801","50208011000",954.651705718,55427.0608369,"5020801"
"34","1000","5","Staten Island","021300","50213001000",2020.98220689,210828.982321,"5021300"
"35","1000","5","Staten Island","022600","50226001000",7407.16767862,581748.981798,"5022600"
"36","1000","5","Staten Island","024401","50244011000",2330.58654562,229143.562255,"5024401"
"37","1000","5","Staten Island","027302","50273021000",3834.1568099,501412.315811,"5027302"
"38","1000","5","Staten Island","027702","50277021000",582.20571556,20894.9312121,"5027702"
"39","1000","5","Staten Island","027705","50277051000",2681.4964026,310745.313193,"5027705"
"40","1001","5","Staten Island","000600","50006001001",983.852774739,34583.7913231,"5000600"
"41","1001","5","Staten Island","000900","50009001001",2205.55875231,252525.70016,"5000900"
"42","1001","5","Staten Island","001100","50011001001",1741.58649289,158261.542262,"5001100"
"43","1001","5","Staten Island","002001","50020011001",1214.39162166,90731.1333877,"5002001"
"44","1001","5","Staten Island","002100","50021001001",1422.68478476,117515.765931,"5002100"
"45","1001","5","Staten Island","002700","50027001001",2258.56325765,217700.678662,"5002700"
"46","1001","5","Staten Island","003600","50036001001",2408.91753681,343468.943789,"5003600"
"47","1001","5","Staten Island","004000","50040001001",1304.51659551,102152.458422,"5004000"
"48","1001","5","Staten Island","007400","50074001001",1586.3961903,145503.149937,"5007400"
"49","1001","5","Staten Island","007500","50075001001",2173.40222813,276376.408708,"5007500"
"50","1001","5","Staten Island","009601","50096011001",753.251158725,30542.0948001,"5009601"
"51","1001","5","Staten Island","011201","50112011001",2030.04017007,222164.713056,"5011201"
"52","1001","5","Staten Island","011202","50112021001",2750.64130173,311389.560257,"5011202"
"53","1001","5","Staten Island","011401","50114011001",1005.19642785,51315.9803927,"5011401"
"54","1001","5","Staten Island","011402","50114021001",1987.22512402,191269.136703,"5011402"
"55","1001","5","Staten Island","012200","50122001001",1395.15104109,108587.94203,"5012200"
"56","1001","5","Staten Island","012500","50125001001",3377.83251582,496338.307593,"5012500"
"57","1001","5","Staten Island","012804","50128041001",3126.86608721,407806.181353,"5012804"
"58","1001","5","Staten Island","012805","50128051001",1438.62173238,109154.937476,"5012805"
"59","1001","5","Staten Island","012806","50128061001",1287.27777223,101361.14076,"5012806"
"60","1001","5","Staten Island","013203","50132031001",2143.39711079,54518.0345897,"5013203"
"61","1001","5","Staten Island","013302","50133021001",2026.93256865,214008.326253,"5013302"
"62","1001","5","Staten Island","013400","50134001001",1325.94281567,103595.683625,"5013400"
"63","1001","5","Staten Island","013800","50138001001",1553.39778352,138383.393856,"5013800"
"64","1001","5","Staten Island","014100","50141001001",1257.09123898,93007.9382206,"5014100"
"65","1001","5","Staten Island","014605","50146051001",1667.76922958,141137.998436,"5014605"
"66","1001","5","Staten Island","014608","50146081001",1678.66954601,150054.619404,"5014608"
"67","1001","5","Staten Island","015100","50151001001",1834.44195385,214266.58135,"5015100"
"68","1001","5","Staten Island","015602","50156021001",1794.81165917,163608.163392,"5015602"
"69","1001","5","Staten Island","015603","50156031001",1902.66576968,156664.138065,"5015603"
"70","1001","5","Staten Island","016901","50169011001",2721.32940362,224290.398686,"5016901"
"71","1001","5","Staten Island","017005","50170051001",2442.04172715,107577.517263,"5017005"
"72","1001","5","Staten Island","017007","50170071001",1236.82279734,81140.7025115,"5017007"
"73","1001","5","Staten Island","017008","50170081001",1427.96414134,89722.203672,"5017008"
"74","1001","5","Staten Island","017009","50170091001",1378.78485492,113324.419443,"5017009"
"75","1001","5","Staten Island","017011","50170111001",1876.81099243,175787.846929,"5017011"
"76","1001","5","Staten Island","017012","50170121001",1281.11403461,82325.4400728,"5017012"
"77","1001","5","Staten Island","017600","50176001001",2570.62846569,254756.426863,"5017600"
"78","1001","5","Staten Island","017700","50177001001",1556.87094711,137191.111018,"5017700"
"79","1001","5","Staten Island","018100","50181001001",631.564977383,9148.40179438,"5018100"
"80","1001","5","Staten Island","018901","50189011001",686.919791036,23823.1164268,"5018901"
"81","1001","5","Staten Island","019700","50197001001",1126.37121773,72346.3208258,"5019700"
"82","1001","5","Staten Island","021300","50213001001",1981.59726791,195859.681143,"5021300"
"83","1001","5","Staten Island","022300","50223001001",2754.55529227,313542.085443,"5022300"
"84","1001","5","Staten Island","023900","50239001001",1028.02379299,65630.8933912,"5023900"
"85","1001","5","Staten Island","024401","50244011001",2279.88989644,224021.467144,"5024401"
"86","1001","5","Staten Island","027302","50273021001",1981.71814525,189063.155456,"5027302"
"87","1001","5","Staten Island","027704","50277041001",2322.71289682,235931.286918,"5027704"
"88","1001","5","Staten Island","027900","50279001001",2004.36100277,188445.525274,"5027900"
"89","1001","5","Staten Island","030301","50303011001",2013.00696268,206118.037699,"5030301"
"90","1001","5","Staten Island","031901","50319011001",697.244950694,27925.724108,"5031901"
"91","1002","5","Staten Island","000600","50006001002",749.09588553,34417.2101977,"5000600"
"92","1002","5","Staten Island","000900","50009001002",980.842680331,54874.8807119,"5000900"
"93","1002","5","Staten Island","001100","50011001002",1732.37356005,159701.403496,"5001100"
"94","1002","5","Staten Island","002001","50020011002",3511.67303913,612875.287101,"5002001"
"95","1002","5","Staten Island","002700","50027001002",1647.70748987,107222.506025,"5002700"
"96","1002","5","Staten Island","003600","50036001002",2088.54918956,108298.53055,"5003600"
"97","1002","5","Staten Island","004000","50040001002",1258.09333071,93162.6522247,"5004000"
"98","1002","5","Staten Island","005900","50059001002",2448.91702972,379580.588161,"5005900"
"99","1002","5","Staten Island","006400","50064001002",1721.39442999,135649.780506,"5006400"
"100","1002","5","Staten Island","007400","50074001002",1342.90165697,74445.5981741,"5007400"
"101","1002","5","Staten Island","007500","50075001002",1747.14394231,174853.562565,"5007500"
"102","1002","5","Staten Island","007700","50077001002",1365.0511979,103812.284919,"5007700"
"103","1002","5","Staten Island","009602","50096021002",1824.17672962,165419.514208,"5009602"
"104","1002","5","Staten Island","011201","50112011002",1853.32146501,197337.241666,"5011201"
"105","1002","5","Staten Island","011202","50112021002",2651.20560999,280349.060416,"5011202"
"106","1002","5","Staten Island","011401","50114011002",1707.38479876,172181.617501,"5011401"
"107","1002","5","Staten Island","011402","50114021002",1362.62238764,104903.989419,"5011402"
"108","1002","5","Staten Island","012100","50121001002",3415.26595184,351026.964436,"5012100"
"109","1002","5","Staten Island","012200","50122001002",1666.51217496,148817.01186,"5012200"
"110","1002","5","Staten Island","012500","50125001002",2302.40780084,279704.529974,"5012500"
"111","1002","5","Staten Island","012804","50128041002",2986.69881981,324449.558339,"5012804"
"112","1002","5","Staten Island","012806","50128061002",1287.20198636,100335.400556,"5012806"
"113","1002","5","Staten Island","013201","50132011002",1419.18986427,95287.8956205,"5013201"
"114","1002","5","Staten Island","013203","50132031002",2549.44245392,282116.484586,"5013203"
"115","1002","5","Staten Island","013204","50132041002",1347.06958979,111326.353264,"5013204"
"116","1002","5","Staten Island","013302","50133021002",3553.74190122,562874.523757,"5013302"
"117","1002","5","Staten Island","013400","50134001002",1334.58840314,104352.669086,"5013400"
"118","1002","5","Staten Island","013800","50138001002",1450.16169642,123747.098019,"5013800"
"119","1002","5","Staten Island","014605","50146051002",1402.13709952,122114.349389,"5014605"
"120","1002","5","Staten Island","014608","50146081002",1634.84756524,146697.771155,"5014608"
"121","1002","5","Staten Island","015400","50154001002",1534.71580627,75383.7984096,"5015400"
"122","1002","5","Staten Island","015602","50156021002",1500.32648319,125743.854976,"5015602"
"123","1002","5","Staten Island","015603","50156031002",1786.01893847,104379.717535,"5015603"
"124","1002","5","Staten Island","017005","50170051002",2614.52945498,411733.146776,"5017005"
"125","1002","5","Staten Island","017007","50170071002",1180.08009959,61555.7662144,"5017007"
"126","1002","5","Staten Island","017008","50170081002",1471.11087233,125608.567951,"5017008"
"127","1002","5","Staten Island","017009","50170091002",1985.24982416,140593.931111,"5017009"
"128","1002","5","Staten Island","017011","50170111002",2040.64789868,193220.708983,"5017011"
"129","1002","5","Staten Island","017012","50170121002",512.91473039,11287.6857738,"5017012"
"130","1002","5","Staten Island","018100","50181001002",526.230685111,9379.99628826,"5018100"
"131","1002","5","Staten Island","018701","50187011002",2173.919538,238454.286882,"5018701"
"132","1002","5","Staten Island","018901","50189011002",1288.81092396,101042.853168,"5018901"
"133","1002","5","Staten Island","019700","50197001002",1158.43451066,78186.2725051,"5019700"
"134","1002","5","Staten Island","020100","50201001002",2251.61606706,281603.726954,"5020100"
"135","1002","5","Staten Island","020801","50208011002",586.29545973,14341.3977033,"5020801"
"136","1002","5","Staten Island","021300","50213001002",1929.77712276,179431.084464,"5021300"
"137","1002","5","Staten Island","022300","50223001002",1175.70823466,82351.7668435,"5022300"
"138","1002","5","Staten Island","023100","50231001002",2196.9430402,293436.513884,"5023100"
"139","1002","5","Staten Island","024401","50244011002",2218.13746946,206721.12825,"5024401"
"140","1002","5","Staten Island","024402","50244021002",1557.41266979,120653.162335,"5024402"
"141","1002","5","Staten Island","024700","50247001002",461.289175114,6305.05557037,"5024700"
"142","1002","5","Staten Island","024800","50248001002",1451.48172552,136031.774901,"5024800"
"143","1002","5","Staten Island","025100","50251001002",1286.15303751,98015.989508,"5025100"
"144","1002","5","Staten Island","027301","50273011002",2895.01721186,268308.042776,"5027301"
"145","1002","5","Staten Island","027302","50273021002",1441.72919297,120353.317718,"5027302"
"146","1002","5","Staten Island","027702","50277021002",783.682424397,28186.9225681,"5027702"
"147","1002","5","Staten Island","027706","50277061002",2021.93204223,200926.431529,"5027706"
"148","1002","5","Staten Island","027900","50279001002",2117.42484955,198803.622824,"5027900"
"149","1002","5","Staten Island","029103","50291031002",2092.49781099,203393.790563,"5029103"
"150","1002","5","Staten Island","029104","50291041002",2184.94859449,241439.610558,"5029104"
"151","1002","5","Staten Island","030301","50303011002",2246.22235193,239070.835997,"5030301"
"152","1002","5","Staten Island","030302","50303021002",1317.91966678,99810.2881841,"5030302"
"153","1003","5","Staten Island","000300","50003001003",1374.53064747,115178.825143,"5000300"
"154","1003","5","Staten Island","000600","50006001003",2165.65731535,273632.063394,"5000600"
"155","1003","5","Staten Island","000900","50009001003",4216.03765923,504712.946607,"5000900"
"156","1003","5","Staten Island","001100","50011001003",1932.70904205,184551.235928,"5001100"
"157","1003","5","Staten Island","001800","50018001003",1764.93971568,169559.233857,"5001800"
"158","1003","5","Staten Island","002700","50027001003",1482.28802284,123760.242815,"5002700"
"159","1003","5","Staten Island","002900","50029001003",1075.34975473,60939.836868,"5002900"
"160","1003","5","Staten Island","003600","50036001003",1059.21099502,66609.9778364,"5003600"
"161","1003","5","Staten Island","004000","50040001003",1289.86450866,99453.7083265,"5004000"
"162","1003","5","Staten Island","005900","50059001003",1129.58177861,58944.042523,"5005900"
"163","1003","5","Staten Island","006400","50064001003",1359.62071241,101135.893391,"5006400"
"164","1003","5","Staten Island","006700","50067001003",2343.73144146,234729.211352,"5006700"
"165","1003","5","Staten Island","007400","50074001003",1589.82022088,133112.60257,"5007400"
"166","1003","5","Staten Island","007700","50077001003",1358.6083805,105157.15768,"5007700"
"167","1003","5","Staten Island","008100","50081001003",2325.67113243,237906.261677,"5008100"
"168","1003","5","Staten Island","009602","50096021003",1729.9533479,154054.753172,"5009602"
"169","1003","5","Staten Island","011201","50112011003",1862.00907394,198995.186229,"5011201"
"170","1003","5","Staten Island","011202","50112021003",1403.04426521,120145.452388,"5011202"
"171","1003","5","Staten Island","011401","50114011003",2342.17882966,278572.737569,"5011401"
"172","1003","5","Staten Island","011402","50114021003",1340.9397094,106572.771592,"5011402"
"173","1003","5","Staten Island","012100","50121001003",1713.75944563,145568.417897,"5012100"
"174","1003","5","Staten Island","012200","50122001003",1696.68359769,152585.89843,"5012200"
"175","1003","5","Staten Island","012500","50125001003",2480.6668725,296990.173985,"5012500"
"176","1003","5","Staten Island","012804","50128041003",2237.77412283,223815.237549,"5012804"
"177","1003","5","Staten Island","012806","50128061003",1214.21685198,88275.8264609,"5012806"
"178","1003","5","Staten Island","013201","50132011003",1565.03407343,137370.530436,"5013201"
"179","1003","5","Staten Island","013203","50132031003",1522.79307728,130422.324944,"5013203"
"180","1003","5","Staten Island","013204","50132041003",1915.13082389,180499.290599,"5013204"
"181","1003","5","Staten Island","013302","50133021003",1139.93663116,81631.7014371,"5013302"
"182","1003","5","Staten Island","013400","50134001003",1346.22419149,105768.427688,"5013400"
"183","1003","5","Staten Island","013800","50138001003",1866.58488655,180343.239499,"5013800"
"184","1003","5","Staten Island","014605","50146051003",1547.18604197,133777.06883,"5014605"
"185","1003","5","Staten Island","014608","50146081003",1560.8338028,135974.165871,"5014608"
"186","1003","5","Staten Island","015100","50151001003",1857.71212128,167884.084048,"5015100"
"187","1003","5","Staten Island","015601","50156011003",1255.09324807,93432.430447,"5015601"
"188","1003","5","Staten Island","015602","50156021003",1974.33694828,187430.289811,"5015602"
"189","1003","5","Staten Island","015603","50156031003",2242.86407183,252385.126046,"5015603"
"190","1003","5","Staten Island","016901","50169011003",1648.48065566,149576.019214,"5016901"
"191","1003","5","Staten Island","017005","50170051003",2143.74832283,215702.475221,"5017005"
"192","1003","5","Staten Island","017007","50170071003",913.702237107,44646.662661,"5017007"
"193","1003","5","Staten Island","017009","50170091003",2066.43551984,202850.143068,"5017009"
"194","1003","5","Staten Island","017011","50170111003",3666.15597885,428607.303573,"5017011"
"195","1003","5","Staten Island","017012","50170121003",1793.00815846,125148.598003,"5017012"
"196","1003","5","Staten Island","017300","50173001003",1843.84414053,171030.678315,"5017300"
"197","1003","5","Staten Island","017600","50176001003",1167.69365557,83977.5379528,"5017600"
"198","1003","5","Staten Island","018701","50187011003",317.241155708,2173.04811911,"5018701"
"199","1003","5","Staten Island","018702","50187021003",1885.48710968,125034.676798,"5018702"
"200","1003","5","Staten Island","019700","50197001003",1188.86168209,83807.320252,"5019700"
"201","1003","5","Staten Island","019800","50198001003",2479.75298122,383819.207494,"5019800"
"202","1003","5","Staten Island","020100","50201001003",1525.03821142,142547.297777,"5020100"
"203","1003","5","Staten Island","020804","50208041003",1813.33519939,165818.338797,"5020804"
"204","1003","5","Staten Island","021300","50213001003",1317.93798824,102807.22403,"5021300"
"205","1003","5","Staten Island","022300","50223001003",931.259260274,38384.9263415,"5022300"
"206","1003","5","Staten Island","023100","50231001003",2088.59553645,255008.564994,"5023100"
"207","1003","5","Staten Island","024401","50244011003",386.562748981,6454.94709158,"5024401"
"208","1003","5","Staten Island","024800","50248001003",941.723956652,44210.4330004,"5024800"
"209","1003","5","Staten Island","025100","50251001003",1368.87159074,111075.100974,"5025100"
"210","1003","5","Staten Island","027302","50273021003",1412.64042532,87166.9271781,"5027302"
"211","1003","5","Staten Island","027702","50277021003",596.372638668,21220.9848514,"5027702"
"212","1003","5","Staten Island","027705","50277051003",2268.92720281,227560.56452,"5027705"
"213","1003","5","Staten Island","027706","50277061003",2004.68725131,215506.954582,"5027706"
"214","1003","5","Staten Island","031901","50319011003",661.757704244,25426.93238,"5031901"
"215","1003","5","Staten Island","031902","50319021003",1935.67477827,116419.863319,"5031902"
"216","1004","5","Staten Island","000600","50006001004",1253.22623219,93319.7971403,"5000600"
"217","1004","5","Staten Island","000800","50008001004",2256.10176447,264822.03395,"5000800"
